time,X,Y,Theta
0.25,0.04,0.56,0.0005090281257130704
0.25,0.04,0.6,0.0005090281257130703
0.25,0.04,0.64,0.0005090281257130704
0.25,0.04,0.68,0.0005090281257130704
0.25,0.04,0.72,0.0005090281257130703
0.25,0.04,0.76,0.0005090281257130704
0.25,0.04,0.8,0.0005090281257130703
0.25,0.04,0.84,0.0005090281257130704
0.25,0.04,0.88,0.0005090281257130704
0.25,0.04,0.92,0.0005090281257130704
0.25,0.04,0.96,0.0005090281257130705
0.25,0.04,1.0,0.0005090281257130703
0.25,0.08,0.0,0.0015410590160285335
0.25,0.08,0.04,0.0015410590160285335
0.25,0.08,0.08,0.0015410590160285335
0.25,0.08,0.12,0.0015410590160285335
0.25,0.08,0.16,0.0015410590160285335
0.25,0.08,0.2,0.0015410590160285335
0.25,0.08,0.24,0.0015410590160285335
0.25,0.08,0.28,0.0015410590160285335
0.25,0.08,0.32,0.0015410590160285333
0.25,0.08,0.36,0.0015410590160285333
0.25,0.08,0.4,0.0015410590160285335
0.25,0.08,0.44,0.0015410590160285335
0.25,0.08,0.48,0.0015410590160285335
0.25,0.08,0.52,0.0015410590160285335
0.25,0.08,0.56,0.0015410590160285335
0.25,0.08,0.6,0.0015410590160285333
0.25,0.08,0.64,0.0015410590160285335
0.25,0.08,0.68,0.0015410590160285335
0.25,0.08,0.72,0.0015410590160285335
0.25,0.08,0.76,0.0015410590160285338
0.25,0.08,0.8,0.0015410590160285335
0.25,0.08,0.84,0.0015410590160285335
0.25,0.08,0.88,0.0015410590160285335
0.25,0.08,0.92,0.0015410590160285333
0.25,0.08,0.96,0.0015410590160285333
0.25,0.08,1.0,0.0015410590160285333
0.25,0.12,0.0,0.0026011314093007357
0.25,0.12,0.04,0.0026011314093007357
0.25,0.12,0.08,0.0026011314093007357
0.25,0.12,0.12,0.002601131409300736
0.25,0.12,0.16,0.002601131409300736
0.25,0.12,0.2,0.0026011314093007357
0.25,0.12,0.24,0.002601131409300736
0.25,0.12,0.28,0.0026011314093007357
0.25,0.12,0.32,0.0026011314093007357
0.25,0.12,0.36,0.0026011314093007357
0.25,0.12,0.4,0.0026011314093007357
0.25,0.12,0.44,0.0026011314093007357
0.25,0.12,0.48,0.0026011314093007357
0.25,0.12,0.52,0.0026011314093007357
0.25,0.12,0.56,0.0026011314093007357
0.25,0.12,0.6,0.0026011314093007357
0.25,0.12,0.64,0.0026011314093007357
0.25,0.12,0.68,0.0026011314093007357
0.25,0.12,0.72,0.0026011314093007357
0.25,0.12,0.76,0.0026011314093007357
0.25,0.12,0.8,0.0026011314093007357
0.25,0.12,0.84,0.0026011314093007357
0.25,0.12,0.88,0.0026011314093007357
0.25,0.12,0.92,0.0026011314093007357
0.25,0.12,0.96,0.0026011314093007352
0.25,0.12,1.0,0.0026011314093007357
0.25,0.16,0.0,0.0037082844374337386
0.25,0.16,0.04,0.003708284437433738
0.25,0.16,0.08,0.0037082844374337386
0.25,0.16,0.12,0.0037082844374337386
0.25,0.16,0.16,0.0037082844374337377
0.25,0.16,0.2,0.003708284437433738
0.25,0.16,0.24,0.0037082844374337377
0.25,0.16,0.28,0.0037082844374337377
0.25,0.16,0.32,0.003708284437433738
0.25,0.16,0.36,0.003708284437433738
0.25,0.16,0.4,0.0037082844374337386
0.25,0.16,0.44,0.0037082844374337386
0.25,0.16,0.48,0.003708284437433738
0.25,0.16,0.52,0.0037082844374337377
0.25,0.16,0.56,0.0037082844374337377
0.25,0.16,0.6,0.003708284437433738
0.25,0.16,0.64,0.0037082844374337377
0.25,0.16,0.68,0.003708284437433738
0.25,0.16,0.72,0.0037082844374337377
0.25,0.16,0.76,0.003708284437433738
0.25,0.16,0.8,0.0037082844374337377
0.25,0.16,0.84,0.003708284437433738
0.25,0.16,0.88,0.003708284437433738
0.25,0.16,0.92,0.003708284437433738
0.25,0.16,0.96,0.0037082844374337386
0.25,0.16,1.0,0.003708284437433738
0.25,0.2,0.0,0.004882050883550524
0.25,0.2,0.04,0.004882050883550524
0.25,0.2,0.08,0.004882050883550525
0.25,0.2,0.12,0.004882050883550524
0.25,0.2,0.16,0.004882050883550524
0.25,0.2,0.2,0.004882050883550524
0.25,0.2,0.24,0.004882050883550524
0.25,0.2,0.28,0.004882050883550524
0.25,0.2,0.32,0.004882050883550524
0.25,0.2,0.36,0.004882050883550524
0.25,0.2,0.4,0.004882050883550524
0.25,0.2,0.44,0.004882050883550524
